comment_sentence_id,class,comment_sentence,category
4118,TreeBuilder,elementclass the class to use for html elements,4
3094,Markup,"this is a subclass of the text type str in python 3,",4
4119,TreeBuilder,commentclass the class to use for comments,4
3095,Markup,unicode in python 2 .,4
4120,TreeBuilder,doctypeclass the class to use for doctypes,4
3096,Markup,"it has the same methods as that type, but",4
3097,Markup,all methods escape their arguments and return a markup instance.,4
3098,Markup,markup em %s em % foo & bar,4
3099,Markup,markup em foo &amp bar em,4
3100,Markup,markup em hello em foo,4
3101,Markup,markup em hello em &lt foo&gt,4
4133,UnlockError,try,4
4134,UnlockError,raise unlockerror,4
4135,UnlockError,except error,4
4136,UnlockError,pass,4
3676,PoolManager,example,4
3677,PoolManager,manager poolmanager num pools 2,4
3678,PoolManager,"r manager^request get , http google^com",4
3680,PoolManager,"r manager^request get , http yahoo^com",4
3681,PoolManager,len manager^pools,4
3176,MemcachedBytecodeCache,the minimal interface for the client passed to the constructor is this,4
3177,MemcachedBytecodeCache,class minimalclientinterface,4
3178,MemcachedBytecodeCache,"method set key, value , timeout",4
3179,MemcachedBytecodeCache,stores the bytecode in the cache.,4
3180,MemcachedBytecodeCache,value is a string and,4
3181,MemcachedBytecodeCache,timeout the timeout of the key.,4
3182,MemcachedBytecodeCache,if timeout is not provided,4
3183,MemcachedBytecodeCache,"a default timeout or no timeout should be assumed, if it s",4
3184,MemcachedBytecodeCache,provided it s an integer with the number of seconds the cache,4
3185,MemcachedBytecodeCache,item should exist.,4
3186,MemcachedBytecodeCache,method get key,4
3187,MemcachedBytecodeCache,returns the value for the cache key.,4
3188,MemcachedBytecodeCache,if the item does not,4
3189,MemcachedBytecodeCache,exist in the cache the return value must be none .,4
3701,PrefixLoader,the prefix is delimited from the template by a slash per,4
3190,MemcachedBytecodeCache,the other arguments to the constructor are the prefix for all keys that,4
3702,PrefixLoader,"default, which can be changed by setting the delimiter argument to",4
3191,MemcachedBytecodeCache,is added before the actual cache key and the timeout for the bytecode in,4
3703,PrefixLoader,something else,4
3192,MemcachedBytecodeCache,the cache system.,4
3704,PrefixLoader,loader prefixloader,4
3193,MemcachedBytecodeCache,we recommend a high or no timeout.,4
3705,PrefixLoader,"app1 packageloader mypackage^app1 ,",4
3706,PrefixLoader,app2 packageloader mypackage^app2,4
3707,PrefixLoader,"by loading app1 index^html the file from the app1 package is loaded,",4
3708,PrefixLoader,by loading app2 index^html the file from the second.,4
3232,MethodDispatcher,a default value which can be set through the default attribute.,4
3747,Request,"param hooks dictionary of callback hooks, for internal usage.",4
3748,Request,usage,4
3749,Request,import requests,4
3750,Request,"req requests^request get , https httpbin^org get",4
3751,Request,req^prepare,4
3752,Request,preparedrequest get,4
3260,NotAny,notany always returns,4
3261,NotAny,a null token list.,4
3262,NotAny,may be constructed using the operator.,4
3263,NotAny,example,4
3264,NotAny,"and, or, not map caselesskeyword, and or not ^split",4
3265,NotAny,# take care not to mistake keywords for identifiers,4
3266,NotAny,ident and or not word alphas,4
3267,NotAny,boolean term optional not ident,4
3268,NotAny,# very crude boolean expression to support parenthesis groups and,4
3269,NotAny,"# operation hierarchy, use infixnotation",4
3270,NotAny,boolean expr boolean term zeroormore and or boolean term,4
3271,NotAny,# integers that are followed by .,4
3272,NotAny,are actually floats,4
3273,NotAny,integer word nums char .,4
3802,ResponseError,used as a container for an error reason supplied in a maxretryerror.,4
3804,ResponseNotChunked,response needs to be chunked in order to read it as chunks.,4
3295,NotMyLock,try,4
3296,NotMyLock,raise notmylock,4
3297,NotMyLock,except unlockerror,4
3809,Retry,retries can be defined as a default for a pool,4
3298,NotMyLock,pass,4
3810,Retry,"retries retry connect 5, read 2, redirect 5",4
3811,Retry,http poolmanager retries retries,4
3812,Retry,"response http^request get , http example^com",4
3813,Retry,or per request which overrides the default for the pool,4
3815,Retry,retries can be disabled by passing false,4
3321,omdict,"get , setdefault , pop , popitem ,",4
3322,omdict,"clear , copy , update , fromkeys , len",4
3323,omdict,"getitem , setitem , delitem , contains ,",4
3324,omdict,"items , keys , values , iteritems , iterkeys , itervalues ,",4
3325,omdict,"optional parameters have been added to some dict methods, but because the",4
3326,omdict,"added parameters are optional, existing use remains unaffected.",4
3327,omdict,an optional,4
3328,omdict,key parameter has been added to these methods,4
3329,omdict,"items , values , iteritems , itervalues",4
2818,fdspawn,"for example, you could use it to read through a file looking",4
3330,omdict,new methods have also been added to omdict.,4
2819,fdspawn,"for patterns, or to control a modem or serial device.",4
3331,omdict,methods with list in their,4
3332,omdict,"name interact with lists of values, and methods with all in their name",4
3333,omdict,"interact with all items in the dictionary, including multiple items with",4
3334,omdict,the same key.,4
3335,omdict,the new omdict methods are,4
3336,omdict,"load , size , reverse ,",4
2825,FileMetadata,usage,4
3337,omdict,"getlist , add , addlist , set , setlist , setdefaultlist ,",4
2826,FileMetadata,metadata filemetadata path to pkg info,4
3338,omdict,"poplist , popvalue , popvalues , popitem , poplistitem ,",4
3339,omdict,"allitems , allkeys , allvalues , lists , listitems ,",4
3340,omdict,"iterallitems , iterallkeys , iterallvalues , iterlists ,",4
3341,omdict,iterlistitems,4
2831,FileMetadata,usage,4
2832,FileMetadata,metadata filemetadata path to pkg info,4
2851,FileSystemLoader,"the loader takes the path to the templates as string, or if multiple",4
2852,FileSystemLoader,locations are wanted a list of them which is then looked up in the,4
2853,FileSystemLoader,given order,4
2854,FileSystemLoader,loader filesystemloader path to templates,4
2856,FileSystemLoader,per default the template encoding is utf 8 which can be changed,4
2857,FileSystemLoader,by setting the encoding parameter to something else.,4
2858,FileSystemLoader,"to follow symbolic links, set the followlinks parameter to true",4
2859,FileSystemLoader,"loader filesystemloader path to templates , followlinks true",4
3387,Option,all other parameters are passed onwards to the parameter constructor.,4
2878,FollowedBy,followedby does not advance the parsing position within,4
2879,FollowedBy,"the input string, it only verifies that the specified parse",4
2880,FollowedBy,expression matches at the current position.,4
2881,FollowedBy,followedby,4
2882,FollowedBy,always returns a null token list.,4
2883,FollowedBy,if any results names are defined,4
2884,FollowedBy,"in the lookahead expression, those will be returned for access by",4
2885,FollowedBy,name.,4
2886,FollowedBy,example,4
2888,FollowedBy,data word word alphas,4
2890,FollowedBy,"attr expr group label suppress oneormore data word, stopon label ^setparseaction ^join",4
2891,FollowedBy,oneormore attr expr ^parsestring shape square color black posn upper left ^pprint,4
2892,FollowedBy,prints,4
2893,FollowedBy,"shape , square , color , black , posn , upper left",4
2387,And,example,4
2388,And,integer word nums,4
2389,And,name expr oneormore word alphas,4
2390,And,"expr and integer id ,name expr name ,integer age",4
2391,And,# more easily written as,4
2392,And,expr integer id name expr name integer age,4
2409,Argument,they generally,4
2410,Argument,provide fewer features than options but can have infinite nargs,4
2411,Argument,and are required by default.,4
2927,Getattr,get an attribute or item from an expression that is a ascii only,4
2928,Getattr,bytestring and prefer the attribute.,4
2940,HebrewProber,with the scores of the two sbcharsetprobers to produce a final answer.,4
2951,HebrewProber,built.,4
2450,CaseInsensitiveDict,"however, querying and contains",4
2451,CaseInsensitiveDict,testing is case insensitive,4
2452,CaseInsensitiveDict,cid caseinsensitivedict,4
2453,CaseInsensitiveDict,cid accept application json,4
2455,CaseInsensitiveDict,list cid accept # true,4
2456,CaseInsensitiveDict,"for example, headers content encoding will return the",4
3992,Session,basic usage,4
2457,CaseInsensitiveDict,"value of a content encoding response header, regardless",4
3993,Session,import requests,4
2458,CaseInsensitiveDict,of how the header name was originally stored.,4
3994,Session,s requests^session,4
2459,CaseInsensitiveDict,"if the constructor, ^update , or equality comparison",4
3995,Session,s^get https httpbin^org get,4
2460,CaseInsensitiveDict,"operations are given keys that have equal ^lower s, the",4
3996,Session,response 200,4
2461,CaseInsensitiveDict,behavior is undefined.,4
3997,Session,or as a context manager,4
3998,Session,with requests^session as s,4
3999,Session,s^get https httpbin^org get,4
4000,Session,response 200,4
3508,ParseResults,the parsed data,4
3509,ParseResults,as a list len results,4
3510,ParseResults,"by list index results 0 , results 1 , etc",4
3511,ParseResults,by attribute results.,4
4023,SkipTo,example,4
3512,ParseResults,resultsname see class parserelement^setresultsname,4
4024,SkipTo,report,4
3513,ParseResults,example,4
3514,ParseResults,integer word nums,4
4026,SkipTo,# severity description days open,4
3515,ParseResults,date str integer^setresultsname year,4
4027,SkipTo,101 critical intermittent system crash 6,4
3516,ParseResults,integer^setresultsname month,4
4028,SkipTo,94 cosmetic spelling error on login log n 14,4
3517,ParseResults,integer^setresultsname day,4
3518,ParseResults,# equivalent form,4
4030,SkipTo,integer word nums,4
3519,ParseResults,# date str integer year integer month integer day,4
4031,SkipTo,sep suppress,4
3520,ParseResults,# parsestring returns a parseresults object,4
4032,SkipTo,# use skipto to simply match everything up until the next sep,4
3521,ParseResults,result date str^parsestring 1999 12 31,4
4033,SkipTo,"# ignore quoted strings, so that a character inside a quoted string does not match",4
3522,ParseResults,"def test s, fn repr",4
4034,SkipTo,"# parse action will call token^strip for each matched token, ie, the description body",4
3523,ParseResults,"print %s %s % s, fn eval s",4
4035,SkipTo,"string data skipto sep, ignore quotedstring",4
3012,InstalledDistribution,it reads the metadata contained in pydist^json when it is,4
3524,ParseResults,test list result,4
4036,SkipTo,string data^setparseaction tokenmap str^strip,4
3013,InstalledDistribution,"instantiated., or uses a passed in metadata instance useful for when",4
3525,ParseResults,test result 0,4
4037,SkipTo,ticket expr integer issue num sep,4
3014,InstalledDistribution,dry run mode is being used .,4
3526,ParseResults,test result month,4
4038,SkipTo,string data sev sep,4
3527,ParseResults,test result^day,4
4039,SkipTo,string data desc sep,4
2504,Context_,modifications on attr parent must not,4
3528,ParseResults,test month in result,4
4040,SkipTo,integer days open,4
2505,Context_,happen and modifications on attr vars are allowed from generated,4
3529,ParseResults,test minutes in result,4
2506,Context_,template code only.,4
3530,ParseResults,"test result^dump , str",4
4042,SkipTo,print tkt^dump,4
2507,Context_,template filters and global functions marked as,4
3531,ParseResults,prints,4
4043,SkipTo,prints,4
2508,Context_,func contextfunction s get the active context passed as first argument,4
3532,ParseResults,"list result 1999 , , 12 , , 31",4
4044,SkipTo,"101 , critical , intermittent system crash , 6",4
2509,Context_,and are allowed to access the context read only.,4
3533,ParseResults,result 0 1999,4
4045,SkipTo,days open 6,4
3534,ParseResults,result month 12,4
4046,SkipTo,desc intermittent system crash,4
3535,ParseResults,result^day 31,4
4047,SkipTo,issue num 101,4
3536,ParseResults,month in result true,4
4048,SkipTo,sev critical,4
3537,ParseResults,minutes in result false,4
4049,SkipTo,"94 , cosmetic , spelling error on login log n , 14",4
3538,ParseResults,"result^dump 1999 , , 12 , , 31",4
4050,SkipTo,days open 14,4
3539,ParseResults,day 31,4
4051,SkipTo,desc spelling error on login log n,4
3540,ParseResults,month 12,4
4052,SkipTo,issue num 94,4
3541,ParseResults,year 1999,4
4053,SkipTo,sev cosmetic,4
4055,SkipTo,days open 47,4
4057,SkipTo,issue num 79,4
4058,SkipTo,sev minor,4
3037,InvalidVersion,"an invalid version was found, users should refer to pep 440.",4
3053,LockFailed,try,4
3054,LockFailed,raise lockfailed,4
3055,LockFailed,except lockerror,4
3056,LockFailed,pass,4
2558,Distribution,"either way, it must have some metadata, so that s all that s needed",4
2559,Distribution,for construction.,4
5120,EmbeddingBag,"input torch^longtensor 1,2,4,5,4,3,2,9",4
5121,EmbeddingBag,"offsets torch^longtensor 0,4",4
5122,EmbeddingBag,"embedding sum input, offsets",4
5123,EmbeddingBag,"tensor 08861, 54350, 00523 ,",4
5124,EmbeddingBag,"11306, 25798, 10044",4
5658,TransformerEncoderLayer,examples,4
5659,TransformerEncoderLayer,"encoder layer nn^transformerencoderlayer d model 512, nhead 8",4
5660,TransformerEncoderLayer,"src torch^rand 10, 32, 512",4
5661,TransformerEncoderLayer,out encoder layer src,4
4639,BuildType,the build type will be given in attr cmake build type env .,4
