comment_sentence_id,class,comment_sentence,category,outlier
113,BaseCommand,if handle or execute raised any exception eg,4,0
114,BaseCommand,"commanderror , run from argv will instead print an error",4,0
115,BaseCommand,message to stderr .,4,0
895,XFrameOptionsMiddleware,"by default, set the x frame options header to sameorigin , meaning the",4,0
896,XFrameOptionsMiddleware,response can only be loaded on a frame within the same site.,4,0
897,XFrameOptionsMiddleware,to prevent the,4,0
898,XFrameOptionsMiddleware,"response from being loaded in a frame in any site, set x frame options in",4,0
387,Individual,"it won t be registered with the admin, so the",4,0
899,XFrameOptionsMiddleware,your project s django settings to deny .,4,0
388,Individual,corresponding raw id widget won t have a magnifying glass link to select,4,0
389,Individual,related instances rendering will be called programmatically in this case .,4,0
691,Permission,"the permission system is used by the django admin site, but may also be",4,0
692,Permission,useful in your own code.,4,0
693,Permission,the django admin site uses permissions as follows,4,0
694,Permission,the add permission limits the user s ability to view the add form,4,0
695,Permission,and add an object.,4,0
696,Permission,the change permission limits a user s ability to view the change,4,0
697,Permission,"list, view the change form and change an object.",4,0
698,Permission,the delete permission limits the ability to delete an object.,4,0
699,Permission,the view permission limits the ability to view an object.,4,0
219,BCryptSHA256PasswordHasher,this is considered by many to be the most secure algorithm but you,4,0
220,BCryptSHA256PasswordHasher,must first install the bcrypt library.,4,0
483,Migration,it will have one or more,4,0
484,Migration,of the following attributes,4,0
485,Migration,"operations a list of operation instances, probably from django^db.migrations^operations",4,0
230,BoundWidget,"for example, the following can be used in a",4,0
486,Migration,"dependencies a list of tuples of app path, migration name",4,0
231,BoundWidget,template,4,0
487,Migration,"run before a list of tuples of app path, migration name",4,0
232,BoundWidget,% for radio in myform^beatles %,4,0
488,Migration,replaces a list of migration names,4,0
233,BoundWidget,label for radio^id for label,4,0
234,BoundWidget,radio^choice label,4,0
235,BoundWidget,span class radio radio^tag span,4,0
236,BoundWidget,label,4,0
237,BoundWidget,% endfor %,4,0
753,ReverseGenericManyToOneDescriptor,in the example,4,0
754,ReverseGenericManyToOneDescriptor,class post model,4,0
755,ReverseGenericManyToOneDescriptor,comments genericrelation comment,4,0
756,ReverseGenericManyToOneDescriptor,post^comments is a reversegenericmanytoonedescriptor instance.,4,0
960,Audio,"t np^linspace 0,5,framerate 5",4,0
961,Audio,data np^sin 2 np^pi 220 t np^sin 2 np^pi 224 t,4,0
962,Audio,"audio data,rate framerate",4,0
963,Audio,# can also do stereo or more channels,4,0
964,Audio,dataleft np^sin 2 np^pi 220 t,4,0
965,Audio,dataright np^sin 2 np^pi 224 t,4,0
966,Audio,"audio dataleft, dataright ,rate framerate",4,0
967,Audio,audio http www^nch.com^au acm 8k16bitpcm^wav # from url,4,0
968,Audio,audio url http www^w3schools^com html horse^ogg,4,0
969,Audio,audio path to sound^wav # from file,4,0
970,Audio,audio filename path to sound^ogg,4,0
971,Audio,audio b raw wav data.,4,0
972,Audio,.,4,0
973,Audio,# from bytes,4,0
974,Audio,audio data b raw wav data.,4,0
1166,TermColors,this class should be used as a mixin for building color schemes.,4,0
975,Audio,.,4,0
1110,Magics,"classes providing magic functions need to subclass this class, and they",4,0
1111,Magics,must,4,0
1112,Magics,use the method decorators @line magic and @cell magic to decorate,4,0
1113,Magics,"individual methods as magic functions, and",4,0
1114,Magics,use the class decorator @magics class to ensure that the magic,4,0
1115,Magics,methods are properly registered at the instance level upon instance,4,0
1116,Magics,initialization.,4,0
1186,YouTubeVideo,"eg to embed the video from https www^youtube.com watch?v foo , you would",4,0
1187,YouTubeVideo,do,4,0
1188,YouTubeVideo,vid youtubevideo foo,4,0
1189,YouTubeVideo,display vid,4,0
1190,YouTubeVideo,to start from 30 seconds,4,0
1191,YouTubeVideo,"vid youtubevideo abc , start 30",4,0
1192,YouTubeVideo,display vid,4,0
1193,YouTubeVideo,"to calculate seconds from time as hours, minutes, seconds use",4,0
1194,YouTubeVideo,class datetime^timedelta,4,0
1195,YouTubeVideo,"start int timedelta hours 1, minutes 46, seconds 40 ^total seconds",4,0
1196,YouTubeVideo,other parameters can be provided as documented at,4,0
1069,HistoryAccessor,this is intended for use by standalone history tools.,4,0
1070,HistoryAccessor,ipython shells use,4,0
1198,YouTubeVideo,"when converting the notebook using nbconvert, a jpeg representation of the video",4,0
1071,HistoryAccessor,"historymanager, below, which is a subclass of this.",4,0
1199,YouTubeVideo,will be inserted in the document.,4,0
956,Audio,examples,4,0
957,Audio,# generate a sound,4,0
958,Audio,import numpy as np,4,0
959,Audio,framerate 44100,4,0
1288,ConfigDict,examples,4,0
1289,ConfigDict,pot configdict rules potatoes how many potatoes?,4,0
1290,ConfigDict,", int , 0 ,",4,0
1291,ConfigDict,carrots how many carrots?,4,0
1292,ConfigDict,", int, 99 ,",4,0
1293,ConfigDict,"liquids fluids we like , false,",4,0
1294,ConfigDict,"water liters , int, 0 ,",4,0
1295,ConfigDict,"vodka liters , int, 12",4,0
1296,ConfigDict,",",4,0
1297,ConfigDict,"tags tags , c c , int, 0 ,",4,0
1298,ConfigDict,"x x , str, , ,",4,0
1299,ConfigDict,"colors colors , red , blue ,",4,0
1300,ConfigDict,"sorted pot^keys , sorted pot^values",4,0
1301,ConfigDict,"colors , liquids , tags , , ,",4,0
1302,ConfigDict,pot potatoes pot liquids vodka 123,4,0
1303,ConfigDict,pot potatoes,4,0
1304,ConfigDict,123,4,0
1305,ConfigDict,pot liquids vodka,4,0
1306,ConfigDict,123,4,0
1307,ConfigDict,pot carrots,4,0
1308,ConfigDict,99,4,0
1309,ConfigDict,pot^walk liquids^vodka,4,0
1310,ConfigDict,123,4,0
1311,ConfigDict,"pot^walk liquids vodka , parent true",4,0
1312,ConfigDict,", vodka",4,0
1313,ConfigDict,pot colors ^append red,4,0
1314,ConfigDict,0,4,0
1315,ConfigDict,"pot colors ^extend blue , red , red",4,0
1316,ConfigDict,pot colors,4,0
1317,ConfigDict,"red , blue , red , red",4,0
1319,ConfigDict,0,4,0
1320,ConfigDict,pot tags 0 c,4,0
1321,ConfigDict,123,4,0
1322,ConfigDict,pot tags ^append z invalid,4,0
1323,ConfigDict,traceback most recent call last,4,0
1324,ConfigDict,valueerror invalid value for config tags 1 .,4,0
1326,ConfigDict,traceback most recent call last,4,0
1327,ConfigDict,invalidkeyerror invalid key for config evil,4,0
1329,ConfigDict,traceback most recent call last,4,0
1330,ConfigDict,invalidkeyerror invalid key for config liquids evil,4,0
1332,ConfigDict,traceback most recent call last,4,0
1333,ConfigDict,valueerror invalid value for config potatoes moo,4,0
1335,ConfigDict,traceback most recent call last,4,0
1336,ConfigDict,configvalueerror invalid value for config colors 4 green,4,0
1337,ConfigDict,pot^rules potatoes,4,0
1338,ConfigDict,how many potatoes?,4,0
1339,ConfigDict,", type int , 0",4,0
1340,ConfigDict,"isinstance pot liquids , configdict",4,0
1341,ConfigDict,TRUE,4,0
1216,_MockPOP3,"pm pop3mailbox localhost , user bad , conn cls mockpop3",4,0
1217,_MockPOP3,traceback most recent call last,4,0
1218,_MockPOP3,accesserror,4,0
1219,_MockPOP3,"pm pop3mailbox localhost , user a , password b ,",4,0
1220,_MockPOP3,conn cls mockpop3,4,0
1221,_MockPOP3,pm^stat,4,0
1222,_MockPOP3,"2, 123456",4,0
1478,StorageBackedLongs,storage sbl x01 x00 x00 x00 x00 x00 x00 x00,4,0
1223,_MockPOP3,pm^iterkeys,4,0
1479,StorageBackedLongs,"sbl storagebackedlongs storage, sbl",4,0
1224,_MockPOP3,"evil , good",4,0
1480,StorageBackedLongs,1 in sbl,4,0
1225,_MockPOP3,"evil in pm, bogon in pm",4,0
1481,StorageBackedLongs,TRUE,4,0
1226,_MockPOP3,"true, false",4,0
1482,StorageBackedLongs,sbl^append 2,4,0
1227,_MockPOP3,msg subject for msg in pm,4,0
1483,StorageBackedLongs,sbl^save,4,0
1228,_MockPOP3,"msg 1 , msg 2",4,0
1484,StorageBackedLongs,"unpacklonglist storage sbl 1, 2",4,0
1229,_MockPOP3,"pm^get msg size evil , pm^get msg size good",4,0
1485,StorageBackedLongs,TRUE,4,0
1230,_MockPOP3,"47, 51",4,0
1231,_MockPOP3,pm^get bytes evil,4,0
1232,_MockPOP3,"from test@mailpile^is nsubject msg 1 n noh, hi!",4,0
1233,_MockPOP3,n,4,0
1235,_MockPOP3,from,4,0
1236,_MockPOP3,pm invalid key,4,0
1237,_MockPOP3,traceback most recent call last,4,0
1238,_MockPOP3,keyerror .,4,0
1504,VCardStore,# vcards are added to the collection using add vcard.,4,0
1505,VCardStore,this will,4,0
1506,VCardStore,"# create a file for the card on disk, using a random name.",4,0
1507,VCardStore,"vcs^add vcards mailpilevcard vcardline fn dude ,",4,0
1508,VCardStore,"vcardline email d@evil^com ,",4,0
1509,VCardStore,mailpilevcard vcardline fn guy,4,0
1510,VCardStore,vcards can be looked up directly by e mail.,4,0
1511,VCardStore,vcs^get vcard d@evil^com ^fn,4,0
1512,VCardStore,u dude,4,0
1513,VCardStore,vcs^get vcard nosuch@email^address is none,4,0
1514,VCardStore,TRUE,4,0
1515,VCardStore,or they can be found using searches.,4,0
1516,VCardStore,vcs^find vcards guy 0 ^fn,4,0
1517,VCardStore,u guy,4,0
1518,VCardStore,cards can be removed using del vcards,4,0
1519,VCardStore,vcs^del vcards vcs^get vcard d@evil^com,4,0
1520,VCardStore,vcs^get vcard d@evil^com is none,4,0
1521,VCardStore,TRUE,4,0
1522,VCardStore,vcs^del vcards vcs^find vcards guy,4,0
1523,VCardStore,vcs^find vcards guy,4,0
1666,CategoricalDtype,examples,4,0
1667,CategoricalDtype,"t pd^categoricaldtype categories b , a , ordered true",4,0
1668,CategoricalDtype,"pd^series a , b , a , c , dtype t",4,0
1669,CategoricalDtype,12:00 AM,4,0
1670,CategoricalDtype,1 b,4,0
1671,CategoricalDtype,2:00 AM,4,0
1672,CategoricalDtype,3 nan,4,0
1673,CategoricalDtype,dtype category,4,0
1674,CategoricalDtype,"categories 2, object b a",4,0
2327,StringMethods,examples,4,0
2328,StringMethods,s^str.split,4,0
2329,StringMethods,"s^str.replace ,",4,0
1577,BooleanArray,booleanarray implements kleene logic sometimes called three value,4,0
1580,BooleanArray,"to construct an booleanarray from generic array like input, use",4,0
1581,BooleanArray,func pandas^array specifying dtype boolean see examples,4,0
1967,IntervalDtype,examples,4,0
1968,IntervalDtype,pd^intervaldtype subtype int64,4,0
1585,BooleanArray,booleanarray is considered experimental.,4,0
1969,IntervalDtype,interval int64,4,0
1601,BooleanArray,booleanarray,4,0
1985,PlotAccessor,uses the backend specified by the,4,0
1602,BooleanArray,examples,4,0
1986,PlotAccessor,option plotting^backend .,4,0
1603,BooleanArray,create an booleanarray with func pandas^array,4,0
1987,PlotAccessor,"by default, matplotlib is used.",4,0
1604,BooleanArray,"pd^array true, false, none , dtype boolean",4,0
1605,BooleanArray,booleanarray,4,0
1606,BooleanArray,"true, false, na",4,0
1607,BooleanArray,"length 3, dtype boolean",4,0
2248,StringArray,stringarray is considered experimental.,4,0
1877,IntegerArray,"integerarray is currently experimental, and its api or internal",4,0
1751,CategoricalIndex,if an explicit ordered true is given but no categories and the,4,0
1879,IntegerArray,we represent an integerarray with 2 numpy arrays,4,0
1883,IntegerArray,func pandas^array with one of the integer dtypes see examples .,4,0
2270,StringArray,a stringarray.,4,0
2273,StringArray,examples,4,0
1761,CategoricalIndex,examples,4,0
2274,StringArray,"pd^array this is , some text , none, data.",4,0
1762,CategoricalIndex,"pd^categoricalindex a , b , c , a , b , c",4,0
2275,StringArray,", dtype string",4,0
1763,CategoricalIndex,"categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa",4,0
2276,StringArray,stringarray,4,0
1764,CategoricalIndex,categoricalindex can also be instantiated from a categorical,4,0
2277,StringArray,"this is , some text , na, data.",4,0
1765,CategoricalIndex,"c pd^categorical a , b , c , a , b , c",4,0
1766,CategoricalIndex,pd^categoricalindex c,4,0
1767,CategoricalIndex,"categoricalindex a , b , c , a , b , c , categories a , b , c , ordered false, dtype category # noqa",4,0
2280,StringArray,values.,4,0
1768,CategoricalIndex,ordered categoricalindex can have a min and max value.,4,0
1897,IntegerArray,integerarray,4,0
2282,StringArray,traceback most recent call last,4,0
1770,CategoricalIndex,"categories c , b , a",4,0
1898,IntegerArray,examples,4,0
1771,CategoricalIndex,ci,4,0
2284,StringArray,"for comparison methods, this returns a class pandas^booleanarray",4,0
1900,IntegerArray,"int array pd^array 1, none, 3 , dtype pd^int32dtype",4,0
1901,IntegerArray,int array,4,0
2286,StringArray,booleanarray,4,0
1774,CategoricalIndex,c,4,0
1902,IntegerArray,integerarray,4,0
2287,StringArray,"true, na, false",4,0
1903,IntegerArray,"1, nan, 3",4,0
1904,IntegerArray,"length 3, dtype int32",4,0
1905,IntegerArray,string aliases for the dtypes are also available.,4,0
1906,IntegerArray,they are capitalized.,4,0
1907,IntegerArray,"pd^array 1, none, 3 , dtype int32",4,0
1908,IntegerArray,integerarray,4,0
1909,IntegerArray,"1, nan, 3",4,0
1910,IntegerArray,"length 3, dtype int32",4,0
1911,IntegerArray,"pd^array 1, none, 3 , dtype uint16",4,0
1912,IntegerArray,integerarray,4,0
1913,IntegerArray,"1, nan, 3",4,0
1914,IntegerArray,"length 3, dtype uint16",4,0
3077,Markup,"to escape the text, use the",4,0
3078,Markup,meth escape class method instead.,4,0
3079,Markup,"markup hello, em world em !",4,0
3080,Markup,"markup hello, em world em !",4,0
3081,Markup,markup 42,4,0
3082,Markup,markup 42,4,0
3083,Markup,"markup^escape hello, em world em !",4,0
3084,Markup,markup hello &lt em&gt world&lt em&gt !,4,0
3085,Markup,this implements the html interface that some frameworks,4,0
3086,Markup,use.,4,0
3087,Markup,passing an object that implements html will wrap the,4,0
3088,Markup,"output of that method, marking it safe.",4,0
3089,Markup,class foo,4,0
3090,Markup,def html self,4,0
3091,Markup,return a href foo foo a,4,0
3092,Markup,markup foo,4,0
4117,TreeBuilder,documentclass the class to use for the bottommost node of a document,4,0
3093,Markup,markup a href foo foo a,4,0
4118,TreeBuilder,elementclass the class to use for html elements,4,0
3094,Markup,"this is a subclass of the text type str in python 3,",4,0
4119,TreeBuilder,commentclass the class to use for comments,4,0
3095,Markup,unicode in python 2 .,4,0
4120,TreeBuilder,doctypeclass the class to use for doctypes,4,0
3096,Markup,"it has the same methods as that type, but",4,0
3097,Markup,all methods escape their arguments and return a markup instance.,4,0
3098,Markup,markup em %s em % foo & bar,4,0
3099,Markup,markup em foo &amp bar em,4,0
3100,Markup,markup em hello em foo,4,0
3101,Markup,markup em hello em &lt foo&gt,4,0
4133,UnlockError,try,4,0
4134,UnlockError,raise unlockerror,4,0
4135,UnlockError,except error,4,0
4136,UnlockError,pass,4,0
3676,PoolManager,example,4,0
3677,PoolManager,manager poolmanager num pools 2,4,0
3678,PoolManager,"r manager^request get , http google^com",4,0
3680,PoolManager,"r manager^request get , http yahoo^com",4,0
3681,PoolManager,len manager^pools,4,0
3176,MemcachedBytecodeCache,the minimal interface for the client passed to the constructor is this,4,0
3177,MemcachedBytecodeCache,class minimalclientinterface,4,0
3178,MemcachedBytecodeCache,"method set key, value , timeout",4,0
3179,MemcachedBytecodeCache,stores the bytecode in the cache.,4,0
3180,MemcachedBytecodeCache,value is a string and,4,0
3181,MemcachedBytecodeCache,timeout the timeout of the key.,4,0
3182,MemcachedBytecodeCache,if timeout is not provided,4,0
3183,MemcachedBytecodeCache,"a default timeout or no timeout should be assumed, if it s",4,0
3184,MemcachedBytecodeCache,provided it s an integer with the number of seconds the cache,4,0
3185,MemcachedBytecodeCache,item should exist.,4,0
3186,MemcachedBytecodeCache,method get key,4,0
3187,MemcachedBytecodeCache,returns the value for the cache key.,4,0
3188,MemcachedBytecodeCache,if the item does not,4,0
3189,MemcachedBytecodeCache,exist in the cache the return value must be none .,4,0
3701,PrefixLoader,the prefix is delimited from the template by a slash per,4,0
3190,MemcachedBytecodeCache,the other arguments to the constructor are the prefix for all keys that,4,0
3702,PrefixLoader,"default, which can be changed by setting the delimiter argument to",4,0
3191,MemcachedBytecodeCache,is added before the actual cache key and the timeout for the bytecode in,4,0
3703,PrefixLoader,something else,4,0
3192,MemcachedBytecodeCache,the cache system.,4,0
3704,PrefixLoader,loader prefixloader,4,0
3193,MemcachedBytecodeCache,we recommend a high or no timeout.,4,0
3705,PrefixLoader,"app1 packageloader mypackage^app1 ,",4,0
3706,PrefixLoader,app2 packageloader mypackage^app2,4,0
3707,PrefixLoader,"by loading app1 index^html the file from the app1 package is loaded,",4,0
3708,PrefixLoader,by loading app2 index^html the file from the second.,4,0
3232,MethodDispatcher,a default value which can be set through the default attribute.,4,0
3747,Request,"param hooks dictionary of callback hooks, for internal usage.",4,0
3748,Request,usage,4,0
3749,Request,import requests,4,0
3750,Request,"req requests^request get , https httpbin^org get",4,0
3751,Request,req^prepare,4,0
3752,Request,preparedrequest get,4,0
3260,NotAny,notany always returns,4,0
3261,NotAny,a null token list.,4,0
3262,NotAny,may be constructed using the operator.,4,0
3263,NotAny,example,4,0
3264,NotAny,"and, or, not map caselesskeyword, and or not ^split",4,0
3265,NotAny,# take care not to mistake keywords for identifiers,4,0
3266,NotAny,ident and or not word alphas,4,0
3267,NotAny,boolean term optional not ident,4,0
3268,NotAny,# very crude boolean expression to support parenthesis groups and,4,0
3269,NotAny,"# operation hierarchy, use infixnotation",4,0
3270,NotAny,boolean expr boolean term zeroormore and or boolean term,4,0
3271,NotAny,# integers that are followed by .,4,0
3272,NotAny,are actually floats,4,0
3273,NotAny,integer word nums char .,4,0
3802,ResponseError,used as a container for an error reason supplied in a maxretryerror.,4,0
3804,ResponseNotChunked,response needs to be chunked in order to read it as chunks.,4,0
3295,NotMyLock,try,4,0
3296,NotMyLock,raise notmylock,4,0
3297,NotMyLock,except unlockerror,4,0
3809,Retry,retries can be defined as a default for a pool,4,0
3298,NotMyLock,pass,4,0
3810,Retry,"retries retry connect 5, read 2, redirect 5",4,0
3811,Retry,http poolmanager retries retries,4,0
3812,Retry,"response http^request get , http example^com",4,0
3813,Retry,or per request which overrides the default for the pool,4,0
3815,Retry,retries can be disabled by passing false,4,0
3321,omdict,"get , setdefault , pop , popitem ,",4,0
3322,omdict,"clear , copy , update , fromkeys , len",4,0
3323,omdict,"getitem , setitem , delitem , contains ,",4,0
3324,omdict,"items , keys , values , iteritems , iterkeys , itervalues ,",4,0
3325,omdict,"optional parameters have been added to some dict methods, but because the",4,0
3326,omdict,"added parameters are optional, existing use remains unaffected.",4,0
3327,omdict,an optional,4,0
3328,omdict,key parameter has been added to these methods,4,0
3329,omdict,"items , values , iteritems , itervalues",4,0
2818,fdspawn,"for example, you could use it to read through a file looking",4,0
3330,omdict,new methods have also been added to omdict.,4,0
2819,fdspawn,"for patterns, or to control a modem or serial device.",4,0
3331,omdict,methods with list in their,4,0
3332,omdict,"name interact with lists of values, and methods with all in their name",4,0
3333,omdict,"interact with all items in the dictionary, including multiple items with",4,0
3334,omdict,the same key.,4,0
3335,omdict,the new omdict methods are,4,0
3336,omdict,"load , size , reverse ,",4,0
2825,FileMetadata,usage,4,0
3337,omdict,"getlist , add , addlist , set , setlist , setdefaultlist ,",4,0
2826,FileMetadata,metadata filemetadata path to pkg info,4,0
3338,omdict,"poplist , popvalue , popvalues , popitem , poplistitem ,",4,0
3339,omdict,"allitems , allkeys , allvalues , lists , listitems ,",4,0
3340,omdict,"iterallitems , iterallkeys , iterallvalues , iterlists ,",4,0
3341,omdict,iterlistitems,4,0
2831,FileMetadata,usage,4,0
2832,FileMetadata,metadata filemetadata path to pkg info,4,0
2851,FileSystemLoader,"the loader takes the path to the templates as string, or if multiple",4,0
2852,FileSystemLoader,locations are wanted a list of them which is then looked up in the,4,0
2853,FileSystemLoader,given order,4,0
2854,FileSystemLoader,loader filesystemloader path to templates,4,0
2856,FileSystemLoader,per default the template encoding is utf 8 which can be changed,4,0
2857,FileSystemLoader,by setting the encoding parameter to something else.,4,0
2858,FileSystemLoader,"to follow symbolic links, set the followlinks parameter to true",4,0
2859,FileSystemLoader,"loader filesystemloader path to templates , followlinks true",4,0
3387,Option,all other parameters are passed onwards to the parameter constructor.,4,0
2878,FollowedBy,followedby does not advance the parsing position within,4,0
2879,FollowedBy,"the input string, it only verifies that the specified parse",4,0
2880,FollowedBy,expression matches at the current position.,4,0
2881,FollowedBy,followedby,4,0
2882,FollowedBy,always returns a null token list.,4,0
2883,FollowedBy,if any results names are defined,4,0
2884,FollowedBy,"in the lookahead expression, those will be returned for access by",4,0
2885,FollowedBy,name.,4,0
2886,FollowedBy,example,4,0
2888,FollowedBy,data word word alphas,4,0
2890,FollowedBy,"attr expr group label suppress oneormore data word, stopon label ^setparseaction ^join",4,0
2891,FollowedBy,oneormore attr expr ^parsestring shape square color black posn upper left ^pprint,4,0
2892,FollowedBy,prints,4,0
2893,FollowedBy,"shape , square , color , black , posn , upper left",4,0
2387,And,example,4,0
2388,And,integer word nums,4,0
2389,And,name expr oneormore word alphas,4,0
2390,And,"expr and integer id ,name expr name ,integer age",4,0
2391,And,# more easily written as,4,0
2392,And,expr integer id name expr name integer age,4,0
2409,Argument,they generally,4,0
2410,Argument,provide fewer features than options but can have infinite nargs,4,0
2411,Argument,and are required by default.,4,0
2927,Getattr,get an attribute or item from an expression that is a ascii only,4,0
2928,Getattr,bytestring and prefer the attribute.,4,0
2940,HebrewProber,with the scores of the two sbcharsetprobers to produce a final answer.,4,0
2951,HebrewProber,built.,4,0
2450,CaseInsensitiveDict,"however, querying and contains",4,0
2451,CaseInsensitiveDict,testing is case insensitive,4,0
2452,CaseInsensitiveDict,cid caseinsensitivedict,4,0
2453,CaseInsensitiveDict,cid accept application json,4,0
2455,CaseInsensitiveDict,list cid accept # true,4,0
2456,CaseInsensitiveDict,"for example, headers content encoding will return the",4,0
3992,Session,basic usage,4,0
2457,CaseInsensitiveDict,"value of a content encoding response header, regardless",4,0
3993,Session,import requests,4,0
2458,CaseInsensitiveDict,of how the header name was originally stored.,4,0
3994,Session,s requests^session,4,0
2459,CaseInsensitiveDict,"if the constructor, ^update , or equality comparison",4,0
3995,Session,s^get https httpbin^org get,4,0
2460,CaseInsensitiveDict,"operations are given keys that have equal ^lower s, the",4,0
3996,Session,response 200,4,0
2461,CaseInsensitiveDict,behavior is undefined.,4,0
3997,Session,or as a context manager,4,0
3998,Session,with requests^session as s,4,0
3999,Session,s^get https httpbin^org get,4,0
4000,Session,response 200,4,0
3508,ParseResults,the parsed data,4,0
3509,ParseResults,as a list len results,4,0
3510,ParseResults,"by list index results 0 , results 1 , etc",4,0
3511,ParseResults,by attribute results.,4,0
4023,SkipTo,example,4,0
3512,ParseResults,resultsname see class parserelement^setresultsname,4,0
4024,SkipTo,report,4,0
3513,ParseResults,example,4,0
3514,ParseResults,integer word nums,4,0
4026,SkipTo,# severity description days open,4,0
3515,ParseResults,date str integer^setresultsname year,4,0
4027,SkipTo,101 critical intermittent system crash 6,4,0
3516,ParseResults,integer^setresultsname month,4,0
4028,SkipTo,94 cosmetic spelling error on login log n 14,4,0
3517,ParseResults,integer^setresultsname day,4,0
3518,ParseResults,# equivalent form,4,0
4030,SkipTo,integer word nums,4,0
3519,ParseResults,# date str integer year integer month integer day,4,0
4031,SkipTo,sep suppress,4,0
3520,ParseResults,# parsestring returns a parseresults object,4,0
4032,SkipTo,# use skipto to simply match everything up until the next sep,4,0
3521,ParseResults,result date str^parsestring 1999 12 31,4,0
4033,SkipTo,"# ignore quoted strings, so that a character inside a quoted string does not match",4,0
3522,ParseResults,"def test s, fn repr",4,0
4034,SkipTo,"# parse action will call token^strip for each matched token, ie, the description body",4,0
3523,ParseResults,"print %s %s % s, fn eval s",4,0
4035,SkipTo,"string data skipto sep, ignore quotedstring",4,0
3012,InstalledDistribution,it reads the metadata contained in pydist^json when it is,4,0
3524,ParseResults,test list result,4,0
4036,SkipTo,string data^setparseaction tokenmap str^strip,4,0
3013,InstalledDistribution,"instantiated., or uses a passed in metadata instance useful for when",4,0
3525,ParseResults,test result 0,4,0
4037,SkipTo,ticket expr integer issue num sep,4,0
3014,InstalledDistribution,dry run mode is being used .,4,0
3526,ParseResults,test result month,4,0
4038,SkipTo,string data sev sep,4,0
3527,ParseResults,test result^day,4,0
4039,SkipTo,string data desc sep,4,0
2504,Context_,modifications on attr parent must not,4,0
3528,ParseResults,test month in result,4,0
4040,SkipTo,integer days open,4,0
