Repository,Issue/PR Number,Type,Author,Date,Comment Body,URL
facebook/react,35523,Pull Request,josephsavona,2026-01-16 01:15:18+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35523).
* #35529
* #35528
* #35298
* #35526
* __->__ #35523",https://github.com/facebook/react/pull/35523
facebook/react,35522,Pull Request,josephsavona,2026-01-16 01:15:17+00:00,"---
[//]: # (BEGIN SAPLING FOOTER)
Stack created with [Sapling](https://sapling-scm.com). Best reviewed with [ReviewStack](https://reviewstack.dev/facebook/react/pull/35522).
* #35530
* #35529
* #35528
* #35527
* #35526
* #35525
* #35524
* #35523
* __->__ #35522
* #35450
* #35298",https://github.com/facebook/react/pull/35522
facebook/react,35521,Pull Request,gnoff,2026-01-16 00:51:56+00:00,When a lazy element or component is initialized a thenable is returned which was only be conditionally instrumented in dev when asyncDebugInfo was enabled. When instrumented these thenables can be used in conjunction with the SuspendOnImmediate optimization where if a thenable resolves before the stack unwinds we can continue rendering from the last suspended fiber. Without this change a recent fix to the useId implementation cannot be easily tested in production because this optimization pathway isn't available to regular React.lazy thenables. To land the prior PR I changed the thenables to a custom type so I could instrument manually in the test. WIth this change we can just use a regular Promise since ReactLazy will instrument in all environments/flags now,https://github.com/facebook/react/pull/35521
facebook/react,35521,Pull Request,react-sizebot,2026-01-16 00:55:23+00:00,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 4cf906380d5d3282f1df3c8c34cf642e86a3a0a3...a17b69465fddae293359466ed247e45c5b0fec37

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-stable/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable/react-dom/cjs/react-dom.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-stable/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable/react-dom/cjs/react-dom-client.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 608.20 kB | 608.03 kB | = | 107.66 kB | 107.62 kB
| [oss-experimental/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-experimental/react-dom/cjs/react-dom.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 6.84 kB | 6.84 kB | +0.05% | 1.88 kB | 1.88 kB
| [oss-experimental/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-experimental/react-dom/cjs/react-dom-client.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 670.67 kB | 667.26 kB | = | 118.08 kB | 117.51 kB
| [facebook-www/ReactDOM-prod.classic.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/facebook-www/ReactDOM-prod.classic.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 693.57 kB | 693.38 kB | = | 122.05 kB | 122.01 kB
| [facebook-www/ReactDOM-prod.modern.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/facebook-www/ReactDOM-prod.modern.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 683.95 kB | 683.76 kB | = | 120.44 kB | 120.40 kB
| [oss-stable-semver/react/cjs/react.react-server.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable-semver/react/cjs/react.react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+2.21%** | 13.51 kB | 13.81 kB | +0.67% | 3.71 kB | 3.74 kB
| [oss-stable/react/cjs/react.react-server.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable/react/cjs/react.react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+2.21%** | 13.54 kB | 13.83 kB | +0.67% | 3.74 kB | 3.77 kB

## Significant size changes

Includes any change greater than 0.2%:


<details>
<summary>Expand to show</summary>

  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-stable-semver/react/cjs/react.react-server.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable-semver/react/cjs/react.react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+2.21%** | 13.51 kB | 13.81 kB | +0.67% | 3.71 kB | 3.74 kB
| [oss-stable/react/cjs/react.react-server.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable/react/cjs/react.react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+2.21%** | 13.54 kB | 13.83 kB | +0.67% | 3.74 kB | 3.77 kB
| [oss-stable-semver/react/cjs/react.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable-semver/react/cjs/react.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+1.69%** | 17.74 kB | 18.04 kB | +0.63% | 4.57 kB | 4.60 kB
| [oss-stable/react/cjs/react.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-stable/react/cjs/react.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+1.68%** | 17.77 kB | 18.07 kB | +0.63% | 4.60 kB | 4.63 kB
| [oss-experimental/react/cjs/react.react-server.production.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/oss-experimental/react/cjs/react.react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+1.56%** | 19.11 kB | 19.41 kB | +0.52% | 5.00 kB | 5.03 kB
| [facebook-react-native/react/cjs/React-prod.js](https://react-builds.vercel.app/commits/a17b69465fddae293359466ed247e45c5b0fec37/files/facebook-react-native/react/cjs/React-prod.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+1.56%** | 19.23 kB | 19.53 kB | +0.59% | 4.95 kB | 4.98 kB
| [oss-experimental/",https://github.com/facebook/react/pull/35521#issuecomment-3757568197
facebook/react,35520,Pull Request,jackpope,2026-01-15 23:55:24+00:00,"I was experimenting with animations in SuspenseList and hit a crash using ViewTransition as a direct child with `revealOrder=""together""`

```
    TypeError: Cannot read properties of null (reading 'autoName')

      33 |     return props.name;
      34 |   }
    > 35 |   if (instance.autoName !== null) {
         |                ^
      36 |     return instance.autoName;
      37 |   }
```

When ViewTransition is direct child of SuspenseList, the second render pass calls resetChildFibers, setting stateNode to null. Other fibers create stateNode in completeWork. ViewTransition does not, so stateNode is lost.

Followed the pattern used for Offscreen to update stateNode in beginWork if it is null.

Also added a regression test.",https://github.com/facebook/react/pull/35520
facebook/react,35520,Pull Request,react-sizebot,2026-01-16 00:05:16+00:00,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a...fff8811efcd5c452218086eee0177352e344f8e8

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-stable/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable/react-dom/cjs/react-dom.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-stable/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable/react-dom/cjs/react-dom-client.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 608.03 kB | 607.81 kB | = | 107.61 kB | 107.59 kB
| [oss-experimental/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-experimental/react-dom/cjs/react-dom.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-experimental/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-experimental/react-dom/cjs/react-dom-client.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 667.26 kB | 667.03 kB | = | 117.51 kB | 117.47 kB
| [facebook-www/ReactDOM-prod.classic.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/facebook-www/ReactDOM-prod.classic.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 693.38 kB | 693.12 kB | = | 122.00 kB | 121.96 kB
| [facebook-www/ReactDOM-prod.modern.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/facebook-www/ReactDOM-prod.modern.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 683.76 kB | 683.55 kB | = | 120.40 kB | 120.35 kB

## Significant size changes

Includes any change greater than 0.2%:


<details>
<summary>Expand to show</summary>

  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-experimental/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-experimental/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-stable-semver/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable-semver/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-stable/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-experimental/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-experimental/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
| [oss-stable-semver/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable-semver/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
| [oss-stable/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/fff8811efcd5c452218086eee0177352e344f8e8/files/oss-stable/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
</details>


<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against fff8811efcd5c452218086eee0177352e344f8e8
</p>
",https://github.com/facebook/react/pull/35520#issuecomment-3757444952
facebook/react,35519,Pull Request,eps1lon,2026-01-15 21:35:40+00:00,"Notably we ignore the passed theme in `onThemeChanged` and just do a plain re-render (introduced in https://github.com/facebook/react/pull/33992).

Remove emission of unused `extensionEditorPaneShown` and `extensionEditorPaneHidden` events (added in https://github.com/facebook/react/issues/33968).",https://github.com/facebook/react/pull/35519
facebook/react,35518,Pull Request,gnoff,2026-01-15 17:53:34+00:00,When Fiber replays work after suspending and resolving in a microtask it stripped the Forked flag from Fibers because this flag type was not considered a Static flag. The Forked nature of a Fiber is not render dependent and should persist after unwinding work. By making this change the replay correctly generates the necessary tree context.,https://github.com/facebook/react/pull/35518
facebook/react,35518,Pull Request,react-sizebot,2026-01-15 18:00:13+00:00,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a...5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-stable/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable/react-dom/cjs/react-dom.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-stable/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable/react-dom/cjs/react-dom-client.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 608.03 kB | 608.03 kB | = | 107.61 kB | 107.62 kB
| [oss-experimental/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-experimental/react-dom/cjs/react-dom.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-experimental/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-experimental/react-dom/cjs/react-dom-client.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 667.26 kB | 667.26 kB | = | 117.51 kB | 117.52 kB
| [facebook-www/ReactDOM-prod.classic.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/facebook-www/ReactDOM-prod.classic.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 693.38 kB | 693.38 kB | = | 122.00 kB | 122.01 kB
| [facebook-www/ReactDOM-prod.modern.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/facebook-www/ReactDOM-prod.modern.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 683.76 kB | 683.76 kB | = | 120.40 kB | 120.40 kB

## Significant size changes

Includes any change greater than 0.2%:


<details>
<summary>Expand to show</summary>

  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-experimental/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-experimental/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-stable-semver/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable-semver/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-stable/react-debug-tools/cjs/react-debug-tools.development.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable/react-debug-tools/cjs/react-debug-tools.development.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 33.37 kB | 33.29 kB | = | 5.93 kB | 5.92 kB
| [oss-experimental/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-experimental/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
| [oss-stable-semver/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable-semver/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
| [oss-stable/react-debug-tools/cjs/react-debug-tools.production.js](https://react-builds.vercel.app/commits/5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe/files/oss-stable/react-debug-tools/cjs/react-debug-tools.production.js?compare=bb8a76c6cc77ea2976d690ea09f5a1b3d9b1792a) | **=** | 29.78 kB | 29.70 kB | = | 5.81 kB | 5.80 kB
</details>


<p align=""right"">
  Generated by :no_entry_sign: <a href=""https://danger.systems/js"">dangerJS</a> against 5f9a809893e7fe5c5dbd2a8f5052ed8eb08c74fe
</p>
",https://github.com/facebook/react/pull/35518#issuecomment-3756172060
facebook/react,35518,Pull Request,gnoff,2026-01-16 03:06:00+00:00,Fixes #35399 I think,https://github.com/facebook/react/pull/35518#issuecomment-3757896570
facebook/react,35517,Pull Request,sebmarkbage,2026-01-15 17:28:15+00:00,"Stacked on #35191.

Early draft.",https://github.com/facebook/react/pull/35517
facebook/react,35517,Pull Request,react-sizebot,2026-01-15 17:32:06+00:00,"
<!--
  0 failure: 
  0 warning: 
  
  1 markdown notices
  DangerID: danger-id-stable;
-->




Comparing: 4cf906380d5d3282f1df3c8c34cf642e86a3a0a3...d5ffec169f90097f8451754e9359537c77a94919

## Critical size changes

Includes critical production bundles, as well as any change greater than 2%:


  | Name | +/- | Base | Current | +/- gzip | Base gzip | Current gzip |
  | ---- | --- | ---- | ------- | -------- | --------- | ------------ |
| [oss-stable/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable/react-dom/cjs/react-dom.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-stable/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable/react-dom/cjs/react-dom-client.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 608.20 kB | 608.20 kB | = | 107.66 kB | 107.66 kB
| [oss-experimental/react-dom/cjs/react-dom.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-experimental/react-dom/cjs/react-dom.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 6.84 kB | 6.84 kB | = | 1.88 kB | 1.88 kB
| [oss-experimental/react-dom/cjs/react-dom-client.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-experimental/react-dom/cjs/react-dom-client.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 670.67 kB | 669.74 kB | = | 118.08 kB | 118.00 kB
| [facebook-www/ReactDOM-prod.classic.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/facebook-www/ReactDOM-prod.classic.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 693.57 kB | 693.57 kB | = | 122.05 kB | 122.05 kB
| [facebook-www/ReactDOM-prod.modern.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/facebook-www/ReactDOM-prod.modern.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **=** | 683.95 kB | 683.95 kB | = | 120.44 kB | 120.44 kB
| [oss-experimental/react-noop-renderer/cjs/react-noop-renderer-server.development.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-experimental/react-noop-renderer/cjs/react-noop-renderer-server.development.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.88%** | 8.02 kB | 9.46 kB | +4.27% | 1.69 kB | 1.76 kB
| [oss-stable-semver/react-noop-renderer/cjs/react-noop-renderer-server.development.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable-semver/react-noop-renderer/cjs/react-noop-renderer-server.development.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.88%** | 8.02 kB | 9.46 kB | +4.27% | 1.69 kB | 1.76 kB
| [oss-stable/react-noop-renderer/cjs/react-noop-renderer-server.development.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable/react-noop-renderer/cjs/react-noop-renderer-server.development.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.88%** | 8.02 kB | 9.46 kB | +4.27% | 1.69 kB | 1.76 kB
| [oss-experimental/react-noop-renderer/cjs/react-noop-renderer-server.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-experimental/react-noop-renderer/cjs/react-noop-renderer-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.60%** | 6.65 kB | 7.82 kB | +4.43% | 1.60 kB | 1.67 kB
| [oss-stable-semver/react-noop-renderer/cjs/react-noop-renderer-server.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable-semver/react-noop-renderer/cjs/react-noop-renderer-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.60%** | 6.65 kB | 7.82 kB | +4.43% | 1.60 kB | 1.67 kB
| [oss-stable/react-noop-renderer/cjs/react-noop-renderer-server.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable/react-noop-renderer/cjs/react-noop-renderer-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+17.60%** | 6.65 kB | 7.82 kB | +4.43% | 1.60 kB | 1.67 kB
| [oss-stable-semver/react-server/cjs/react-server.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable-semver/react-server/cjs/react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a3) | **+3.64%** | 145.28 kB | 150.57 kB | +2.31% | 25.49 kB | 26.08 kB
| [oss-stable/react-server/cjs/react-server.production.js](https://react-builds.vercel.app/commits/d5ffec169f90097f8451754e9359537c77a94919/files/oss-stable/react-server/cjs/react-server.production.js?compare=4cf906380d5d3282f1df3c8c34cf642e86a3a0a",https://github.com/facebook/react/pull/35517#issuecomment-3756058490
facebook/react,35516,Pull Request,CarlosEduJs,2026-01-15 15:46:31+00:00,"## Summary

- Fixes high CPU usage in React DevTools when browsing pages without React (e.g., Google Search results).

- Motivation: The content script was polling indefinitely with setInterval, sending ""hello"" messages every 500ms to detect React. On pages without React, this loop never stopped, causing high CPU usage and battery drain.

- Solution: Added a maximum retry limit of 10 attempts (~5 seconds). After this timeout, the polling stops automatically on pages without React, while still allowing enough time for slow-loading React apps to initialize.

How did you test this change?
# Manual Testing

Built and tested the extension on both Chrome and Firefox:

- Chrome:

  - Built extension: yarn build:chrome:local
  - Loaded unpacked extension in chrome://extensions/
  - Tested on Google Search (non-React page)
  - Monitored messages in DevTools Console

- Firefox:

  - Built extension: yarn build:firefox:local
  - Loaded temporary add-on in about:debugging
  - Tested on Google Search (non-React page)
  - Monitored messages in DevTools Console

## Results
### Before fix:
  - 100+ ""hello"" messages sent continuously
  - High CPU usage reported by users

### After fix:

  - Stops after 7-10 messages (~5 seconds)
  - No more infinite polling
  - React pages (react.dev) still work correctly
  - Code Quality Checks
  - yarn prettier - Passed
  - yarn linc - Passed (lint for changed files)
  - yarn flow dom-node - Passed

Screenshot:
![fixed bug in dev tools](https://github.com/user-attachments/assets/0d232fcf-d480-416f-8308-2345a422d65b)


Checklist
- [x] Fork the repository and create branch from main
- [x] Run yarn in the repository root
- [x] Code formatted with prettier (yarn prettier)
- [x] Code lints (yarn linc)
- [x] Flow type checks pass (yarn flow dom-node)
- [x] Tested manually on Chrome and Firefox

## Related Issue
- Fixes #35515",https://github.com/facebook/react/pull/35516
facebook/react,35516,Pull Request,meta-cla[bot],2026-01-15 15:46:37+00:00,"Hi @CarlosEduJs! 

Thank you for your pull request and welcome to our community. 

# Action Required

In order to merge **any pull request** (code, docs, etc.), we **require** contributors to sign our **Contributor License Agreement**, and we don't seem to have one on file for you.

# Process

In order for us to review and merge your suggested changes, please sign at <https://code.facebook.com/cla>. **If you are contributing on behalf of someone else (eg your employer)**, the individual CLA may not be sufficient and your employer may need to sign the corporate CLA.

Once the CLA is signed, our tooling will perform checks and validations. Afterwards, the **pull request will be tagged** with `CLA signed`. The tagging process may take up to 1 hour after signing. Please give it that time before contacting us about it.

If you have received this in error or have any questions, please contact us at [cla@meta.com](mailto:cla@meta.com?subject=CLA%20for%20facebook%2Freact%20%2335516). Thanks!",https://github.com/facebook/react/pull/35516#issuecomment-3755499160
facebook/react,35516,Pull Request,meta-cla[bot],2026-01-15 16:08:50+00:00,Thank you for signing our Contributor License Agreement. We can now accept your code for this (and any) Meta Open Source project. Thanks!,https://github.com/facebook/react/pull/35516#issuecomment-3755618278
facebook/react,35516,Pull Request,CarlosEduJs,2026-01-16 02:05:02+00:00,"The retry limiter definitely helps, it makes the extension way less eager to scream “hello???” forever and burn CPUs. So the PR has real value as a safety valve for people browsing heavy sites (Google, dashboards, etc.).

But the core issue is architectural: DevTools does active polling over a wide-open postMessage channel with no strict origin/protocol validation. On complex pages that relay messages (iframes, sandboxed scripts, whatever), you can end up with feedback loops that keep waking the handshake logic even after retries stop. So limiting retries = good bandaid, but long-term fix needs a more robust handshake mechanism.

I'm also looking into more robust long-term approaches.",https://github.com/facebook/react/pull/35516#issuecomment-3757754233
